{'weights': [0.05, 0.1, 0.85], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 108812.92016806721, 'shape_smoothness': 69.96278981438871, 'edge_consistency': 426605.3000372757, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8908009079588165, 'intensity_variance_error': 0.7339871175361115, 'peak_intensity_consistency': 12.925481772731994, 'ge_normalized': 0.5244413076639393, 'ge': 240817.69531977177, 'spatial_spread_error': 13.251963356517534, 'gap_error': 0.874228652336494}
{'weights': [0.15000000000000002, 0.7500000000000001, 0.09999999999999987], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 20438.131912442397, 'shape_smoothness': 54.762437583028856, 'edge_consistency': 426203.42140926915, 'edge_intensity_error': 0.18338932409728947, 'intensity_gradient_error': 1.0452011860572206, 'intensity_variance_error': 0.6122932418040333, 'peak_intensity_consistency': 11.6302439176523, 'ge_normalized': 0.49310519831040295, 'ge': 200836.63496863996, 'spatial_spread_error': 11.962533415062282, 'gap_error': 0.8998577420404046}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 34725.049206349206, 'shape_smoothness': 61.564038183650474, 'edge_consistency': 426468.42555565777, 'edge_intensity_error': 0.1396380049336836, 'intensity_gradient_error': 0.7841188316548555, 'intensity_variance_error': 0.6487178507123449, 'peak_intensity_consistency': 6.241108354505492, 'ge_normalized': 0.6468762943387777, 'ge': 167704.23291919308, 'spatial_spread_error': 10.760642543814198, 'gap_error': 0.8681565429285794}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 89911.27269668737, 'shape_smoothness': 174.5692727555992, 'edge_consistency': 426778.4249859075, 'edge_intensity_error': 0.3199513154896596, 'intensity_gradient_error': 0.9595177130176666, 'intensity_variance_error': 0.48727305682071526, 'peak_intensity_consistency': 18.50026776416711, 'ge_normalized': 0.49894372670653203, 'ge': 210653.0404509291, 'spatial_spread_error': 14.526653161678112, 'gap_error': 0.9090331143115655}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 35001.44920634921, 'shape_smoothness': 61.575657003101306, 'edge_consistency': 426468.48571404937, 'edge_intensity_error': 0.14196872226372634, 'intensity_gradient_error': 0.7845993671548772, 'intensity_variance_error': 0.6485672004200459, 'peak_intensity_consistency': 6.245706125976504, 'ge_normalized': 0.6469947198153143, 'ge': 167903.9338465409, 'spatial_spread_error': 10.791272513400267, 'gap_error': 0.8681582982494837}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17624.05753968254, 'shape_smoothness': 39.93535284799902, 'edge_consistency': 1090517.396390313, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8707303973303201, 'intensity_variance_error': 0.8023517765075381, 'peak_intensity_consistency': 7.871375597774154, 'ge_normalized': 0.8616997836175205, 'ge': 156266.1831222019, 'spatial_spread_error': 10.801594357168733, 'gap_error': 0.863949653374044}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 38848.171916971914, 'shape_smoothness': 110.0218804364398, 'edge_consistency': 425841.0664168894, 'edge_intensity_error': 0.20624083746586855, 'intensity_gradient_error': 0.8938343162906697, 'intensity_variance_error': 0.8386383422793603, 'peak_intensity_consistency': 18.554185615172358, 'ge_normalized': 0.5665544947907389, 'ge': 198856.13583223705, 'spatial_spread_error': 14.13845296046764, 'gap_error': 0.8932583418107308}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 34906.74239350913, 'shape_smoothness': 44.8452965795872, 'edge_consistency': 426722.4332069258, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9669126252575455, 'intensity_variance_error': 0.6815215366338953, 'peak_intensity_consistency': 9.794059821802582, 'ge_normalized': 0.6043303358733716, 'ge': 155044.1789500678, 'spatial_spread_error': 10.039018246626872, 'gap_error': 0.8367651242349344}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 20261.072527472526, 'shape_smoothness': 66.64160424245013, 'edge_consistency': 426627.13717645576, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.1823717815203751, 'intensity_variance_error': 0.8763582736460434, 'peak_intensity_consistency': 10.600083531192128, 'ge_normalized': 0.5459696874360411, 'ge': 187351.8388034541, 'spatial_spread_error': 12.32237324999476, 'gap_error': 0.8308286231806723}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 88047.20286796537, 'shape_smoothness': 40.44775910494998, 'edge_consistency': 1090854.987136227, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.1570750271926993, 'intensity_variance_error': 0.6894962540128251, 'peak_intensity_consistency': 11.373500460057185, 'ge_normalized': 0.5035832103116564, 'ge': 231652.0965850294, 'spatial_spread_error': 12.040078090537799, 'gap_error': 0.8628115393377667}
{'weights': [0.15000000000000002, 0.8000000000000002, 0.04999999999999982], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 38909.29126984127, 'shape_smoothness': 69.44317483602417, 'edge_consistency': 426501.09952911927, 'edge_intensity_error': 0.054022514802712106, 'intensity_gradient_error': 1.196684816461978, 'intensity_variance_error': 0.7944954126445666, 'peak_intensity_consistency': 8.737138139420379, 'ge_normalized': 0.6236691728960259, 'ge': 193821.0213549575, 'spatial_spread_error': 12.229877259893676, 'gap_error': 0.8046200021124034}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 15226.811721611723, 'shape_smoothness': 72.80474309743313, 'edge_consistency': 426426.3021066461, 'edge_intensity_error': 0.007081240988173902, 'intensity_gradient_error': 1.0255054951029534, 'intensity_variance_error': 0.7719253087104967, 'peak_intensity_consistency': 9.080246383235599, 'ge_normalized': 0.515511332706339, 'ge': 189520.4181054067, 'spatial_spread_error': 11.536798060978734, 'gap_error': 0.8325053632913134}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 37634.11544011544, 'shape_smoothness': 60.85445329600822, 'edge_consistency': 426605.8806941898, 'edge_intensity_error': 0.1333849265377033, 'intensity_gradient_error': 0.7840625136532976, 'intensity_variance_error': 0.6141238177581515, 'peak_intensity_consistency': 6.364938290681166, 'ge_normalized': 0.6614376162342794, 'ge': 163181.24605833556, 'spatial_spread_error': 10.574983752643716, 'gap_error': 0.8588464789636582}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 24357.42212885154, 'shape_smoothness': 50.0528308217802, 'edge_consistency': 426612.32876366563, 'edge_intensity_error': 0.36926074077942017, 'intensity_gradient_error': 0.8197841585378653, 'intensity_variance_error': 0.7155911482256972, 'peak_intensity_consistency': 8.006119211481012, 'ge_normalized': 0.6327494163134831, 'ge': 157304.03884463685, 'spatial_spread_error': 10.489329365923501, 'gap_error': 0.8890577147583211}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 11826.346031746032, 'shape_smoothness': 131.46209280618288, 'edge_consistency': 426365.63004937297, 'edge_intensity_error': 0.2969783694063948, 'intensity_gradient_error': 1.0093811542947229, 'intensity_variance_error': 0.5562207439514051, 'peak_intensity_consistency': 11.193768335469208, 'ge_normalized': 0.5367984095196568, 'ge': 162637.68791450476, 'spatial_spread_error': 12.219740299962544, 'gap_error': 0.8777660613900332}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 20091.646918767507, 'shape_smoothness': 63.480458792224944, 'edge_consistency': 426252.2971517981, 'edge_intensity_error': 0.17346755398573022, 'intensity_gradient_error': 1.0862327441985056, 'intensity_variance_error': 0.6413319593297032, 'peak_intensity_consistency': 17.212495270442655, 'ge_normalized': 0.6615501096190434, 'ge': 165710.6087076187, 'spatial_spread_error': 11.934707939991187, 'gap_error': 0.9055445636635353}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 91283.80698529411, 'shape_smoothness': 108.91344427791897, 'edge_consistency': 425907.7172277819, 'edge_intensity_error': 0.17505156677239597, 'intensity_gradient_error': 0.8331866687223478, 'intensity_variance_error': 0.7000640146453022, 'peak_intensity_consistency': 17.611724153788156, 'ge_normalized': 0.6315048637293358, 'ge': 204154.54478814476, 'spatial_spread_error': 12.44547094984947, 'gap_error': 0.8902888724659824}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 25305.212202380953, 'shape_smoothness': 50.624036937814424, 'edge_consistency': 426637.8061855736, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.834143794207697, 'intensity_variance_error': 0.6955556612828634, 'peak_intensity_consistency': 8.969341633513837, 'ge_normalized': 0.7098581376957994, 'ge': 146453.02434680538, 'spatial_spread_error': 9.70352240384523, 'gap_error': 0.8566174112311039}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 25306.74161414566, 'shape_smoothness': 50.627283308069, 'edge_consistency': 426637.80608813575, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8341723356162573, 'intensity_variance_error': 0.6954196370406613, 'peak_intensity_consistency': 8.969901663350022, 'ge_normalized': 0.7103951288800081, 'ge': 146443.21268603895, 'spatial_spread_error': 9.703548791371105, 'gap_error': 0.8566273241952785}
{'weights': [0.2, 0.05, 0.75], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 16426.485714285714, 'shape_smoothness': 75.31309132435932, 'edge_consistency': 1090089.5626750765, 'edge_intensity_error': 0.30209478124567607, 'intensity_gradient_error': 0.955352401466877, 'intensity_variance_error': 0.8206400412713499, 'peak_intensity_consistency': 14.588227941866464, 'ge_normalized': 0.6988095256262992, 'ge': 161524.51395084403, 'spatial_spread_error': 11.412041894128784, 'gap_error': 0.8397732019789855}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17091.27509157509, 'shape_smoothness': 85.21002622685108, 'edge_consistency': 1089324.2353949423, 'edge_intensity_error': 0.29329250973505344, 'intensity_gradient_error': 0.8853709512563891, 'intensity_variance_error': 0.7577425616178569, 'peak_intensity_consistency': 11.748890464717805, 'ge_normalized': 0.6226442773864859, 'ge': 142350.84450272986, 'spatial_spread_error': 11.848102358616833, 'gap_error': 0.8617295765109162}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 19800.76130952381, 'shape_smoothness': 122.17089026083033, 'edge_consistency': 426479.2517000862, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8992035975192252, 'intensity_variance_error': 0.6829867999047439, 'peak_intensity_consistency': 6.553964698541082, 'ge_normalized': 0.5919381914763614, 'ge': 196635.6865096128, 'spatial_spread_error': 11.269783521117128, 'gap_error': 0.9070736494378675}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 12911.469243697478, 'shape_smoothness': 136.87967935009502, 'edge_consistency': 425768.26676156046, 'edge_intensity_error': 0.3640564198877814, 'intensity_gradient_error': 0.9605232444076006, 'intensity_variance_error': 0.5591194113787085, 'peak_intensity_consistency': 12.250714996890132, 'ge_normalized': 0.6803580987987644, 'ge': 132777.145644274, 'spatial_spread_error': 11.862757452204486, 'gap_error': 0.8740089493883101}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17941.18669986513, 'shape_smoothness': 62.120930359364614, 'edge_consistency': 426340.9045659231, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.0514956911760813, 'intensity_variance_error': 0.6531603497539139, 'peak_intensity_consistency': 11.135826263405527, 'ge_normalized': 0.6241229531651556, 'ge': 180615.05790063177, 'spatial_spread_error': 11.941344976249477, 'gap_error': 0.9008533507949892}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 56813.782010582014, 'shape_smoothness': 268.45875060347674, 'edge_consistency': 425780.4211694661, 'edge_intensity_error': 0.05223286815906943, 'intensity_gradient_error': 0.998410004078873, 'intensity_variance_error': 0.7668092171626882, 'peak_intensity_consistency': 16.80714236607899, 'ge_normalized': 0.7615556360380209, 'ge': 183909.89451460238, 'spatial_spread_error': 13.732981581219702, 'gap_error': 0.8905131801073435}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 18739.450784632034, 'shape_smoothness': 52.4963595277812, 'edge_consistency': 425745.97703210014, 'edge_intensity_error': 0.6347958138428713, 'intensity_gradient_error': 0.9817553266133962, 'intensity_variance_error': 0.791471369838152, 'peak_intensity_consistency': 15.099747096623142, 'ge_normalized': 0.7994426864958024, 'ge': 156864.1039834355, 'spatial_spread_error': 11.870399253588436, 'gap_error': 0.895715592126284}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 11775.70756302521, 'shape_smoothness': 131.1433716576382, 'edge_consistency': 426384.11994273245, 'edge_intensity_error': 0.27252333856733246, 'intensity_gradient_error': 0.9830799025039413, 'intensity_variance_error': 0.5602164133900528, 'peak_intensity_consistency': 11.290060643716167, 'ge_normalized': 0.5329482269509058, 'ge': 160995.47676083722, 'spatial_spread_error': 12.210205837513621, 'gap_error': 0.8811736303830346}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 70662.90198412699, 'shape_smoothness': 232.50223786147922, 'edge_consistency': 426532.8762297428, 'edge_intensity_error': 0.4422338976383447, 'intensity_gradient_error': 1.0269520578077758, 'intensity_variance_error': 0.5076735559637428, 'peak_intensity_consistency': 19.58567489950233, 'ge_normalized': 0.527123900957908, 'ge': 186991.67635886537, 'spatial_spread_error': 14.5011728288514, 'gap_error': 0.9043481614994725}
{'weights': [0.2, 0.1, 0.7000000000000001], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 66956.0368191721, 'shape_smoothness': 235.7711974404997, 'edge_consistency': 139739.5972659227, 'edge_intensity_error': 0.3031455437364066, 'intensity_gradient_error': 1.0252326156274176, 'intensity_variance_error': 0.5589100467451927, 'peak_intensity_consistency': 17.0495404207914, 'ge_normalized': 0.5559347053188192, 'ge': 196581.75610611864, 'spatial_spread_error': 14.684439044095441, 'gap_error': 0.9071412380455884}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 64715.03475935829, 'shape_smoothness': 112.57102130941735, 'edge_consistency': 1089960.393335881, 'edge_intensity_error': 0.6738181093727581, 'intensity_gradient_error': 0.802835640134131, 'intensity_variance_error': 0.5828292265041725, 'peak_intensity_consistency': 17.696511890475623, 'ge_normalized': 0.5912084543592729, 'ge': 199677.52628179756, 'spatial_spread_error': 12.824245745849943, 'gap_error': 0.9069618614450871}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 103542.45094217024, 'shape_smoothness': 30.751878381423975, 'edge_consistency': 426971.6868620235, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9301675331722453, 'intensity_variance_error': 0.7898783094752461, 'peak_intensity_consistency': 13.188288299982764, 'ge_normalized': 0.5260117173402966, 'ge': 265481.1642120388, 'spatial_spread_error': 13.07010247111335, 'gap_error': 0.8733416718407878}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57107.28754578755, 'shape_smoothness': 63.40972665787026, 'edge_consistency': 426734.67535648146, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.0602593593951581, 'intensity_variance_error': 0.879632974029848, 'peak_intensity_consistency': 11.350065694619667, 'ge_normalized': 0.4586503623947855, 'ge': 229401.51311353585, 'spatial_spread_error': 13.688805716081276, 'gap_error': 0.8532931557784051}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 64514.137500000004, 'shape_smoothness': 96.55796541187588, 'edge_consistency': 426640.0377810449, 'edge_intensity_error': 0.5751774314924353, 'intensity_gradient_error': 0.8547201244131982, 'intensity_variance_error': 0.7610899418038387, 'peak_intensity_consistency': 16.46685440808299, 'ge_normalized': 0.6035159513295526, 'ge': 167533.26559115856, 'spatial_spread_error': 12.36238305991404, 'gap_error': 0.8740289169938714}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 53509.07077497666, 'shape_smoothness': 257.6742309094732, 'edge_consistency': 425712.070873656, 'edge_intensity_error': 0.0435850859166241, 'intensity_gradient_error': 1.020617101493182, 'intensity_variance_error': 0.7612298456396038, 'peak_intensity_consistency': 17.303745221800167, 'ge_normalized': 0.7031993238318807, 'ge': 187077.43542888472, 'spatial_spread_error': 13.80513725945856, 'gap_error': 0.8901417529400506}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 34039.27501831502, 'shape_smoothness': 65.24122196263583, 'edge_consistency': 426693.36167087057, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.1383587862805398, 'intensity_variance_error': 0.9162511107180631, 'peak_intensity_consistency': 10.302450784237214, 'ge_normalized': 0.44347532777710647, 'ge': 231962.55046415582, 'spatial_spread_error': 13.394820595812497, 'gap_error': 0.8439342129724339}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 61893.06252204585, 'shape_smoothness': 177.79866813534338, 'edge_consistency': 426453.6240875952, 'edge_intensity_error': 0.6442722702087598, 'intensity_gradient_error': 0.9842198835500189, 'intensity_variance_error': 0.8693749556336897, 'peak_intensity_consistency': 13.77630443447299, 'ge_normalized': 0.533490657681464, 'ge': 203837.0566353331, 'spatial_spread_error': 13.947482911992724, 'gap_error': 0.903761919452502}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 68624.5440824283, 'shape_smoothness': 105.28225650471255, 'edge_consistency': 1089883.2057419096, 'edge_intensity_error': 0.14189252682289624, 'intensity_gradient_error': 0.8267692730762665, 'intensity_variance_error': 0.6612688414849502, 'peak_intensity_consistency': 18.434851704620815, 'ge_normalized': 0.6909512717442409, 'ge': 195190.22339410367, 'spatial_spread_error': 12.47160413593076, 'gap_error': 0.8774827171606742}
{'weights': [0.2, 0.15000000000000002, 0.65], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 26319.593001443, 'shape_smoothness': 156.6841907252867, 'edge_consistency': 426256.9660538533, 'edge_intensity_error': 0.7753326821074689, 'intensity_gradient_error': 0.9052873115629639, 'intensity_variance_error': 0.6429452616641359, 'peak_intensity_consistency': 13.07264338792126, 'ge_normalized': 0.7170105082742766, 'ge': 136101.5765394954, 'spatial_spread_error': 13.05140081145746, 'gap_error': 0.8924478114774005}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 63500.072540726826, 'shape_smoothness': 67.54112839552876, 'edge_consistency': 426610.28016093496, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9124799868783464, 'intensity_variance_error': 0.749699739455329, 'peak_intensity_consistency': 10.810887076418771, 'ge_normalized': 0.5536045580899465, 'ge': 203908.27283049663, 'spatial_spread_error': 11.389916661122461, 'gap_error': 0.8690670031453441}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 27085.312231559292, 'shape_smoothness': 53.26751129267246, 'edge_consistency': 426625.127042073, 'edge_intensity_error': 0.49779061403981856, 'intensity_gradient_error': 0.8323242269331229, 'intensity_variance_error': 0.6908641762591458, 'peak_intensity_consistency': 10.01791739069227, 'ge_normalized': 0.6776533252262698, 'ge': 155009.67792819656, 'spatial_spread_error': 10.304772366589125, 'gap_error': 0.8916205972842323}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 28101.03314659197, 'shape_smoothness': 54.36844438942455, 'edge_consistency': 426660.1176941111, 'edge_intensity_error': 0.5003933190130819, 'intensity_gradient_error': 0.8363338160222983, 'intensity_variance_error': 0.6829806191575738, 'peak_intensity_consistency': 10.945845676928464, 'ge_normalized': 0.6932057315120693, 'ge': 154205.1242994817, 'spatial_spread_error': 10.232175618493956, 'gap_error': 0.8703467802543701}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 62569.869166666664, 'shape_smoothness': 126.8957200298852, 'edge_consistency': 426138.6048826175, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.044355253552177, 'intensity_variance_error': 0.7424100065866733, 'peak_intensity_consistency': 13.39661205161164, 'ge_normalized': 0.6196922728405062, 'ge': 183234.4099104445, 'spatial_spread_error': 12.87929744894015, 'gap_error': 0.8773222711746458}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17428.07621122523, 'shape_smoothness': 80.407348143777, 'edge_consistency': 426935.9371531724, 'edge_intensity_error': 0.530302034081947, 'intensity_gradient_error': 0.9884875931080307, 'intensity_variance_error': 0.7636095444676233, 'peak_intensity_consistency': 13.069202331285974, 'ge_normalized': 0.7540470247118168, 'ge': 147032.4650895202, 'spatial_spread_error': 10.911447982166942, 'gap_error': 0.8675608281869934}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 73433.35515873015, 'shape_smoothness': 216.05414707979276, 'edge_consistency': 426639.3511542657, 'edge_intensity_error': 0.3033294734267406, 'intensity_gradient_error': 1.001182025143556, 'intensity_variance_error': 0.4956047125623669, 'peak_intensity_consistency': 19.417262496277452, 'ge_normalized': 0.5286084810065595, 'ge': 185851.17003483072, 'spatial_spread_error': 14.448247063657684, 'gap_error': 0.9024586865747984}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17433.761126672893, 'shape_smoothness': 76.37231741880963, 'edge_consistency': 426931.3091203024, 'edge_intensity_error': 0.5769363227984715, 'intensity_gradient_error': 0.9949172171106658, 'intensity_variance_error': 0.7646153716026438, 'peak_intensity_consistency': 13.14959932779785, 'ge_normalized': 0.7419246243863887, 'ge': 147851.01695767837, 'spatial_spread_error': 10.784556337424254, 'gap_error': 0.8596097264561059}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 16807.85266106443, 'shape_smoothness': 72.03054690089292, 'edge_consistency': 426744.6843287455, 'edge_intensity_error': 0.21824561940429668, 'intensity_gradient_error': 0.968473302795518, 'intensity_variance_error': 0.8477227620021069, 'peak_intensity_consistency': 8.145813291692166, 'ge_normalized': 0.7063746061383749, 'ge': 167680.961961337, 'spatial_spread_error': 11.5078860505258, 'gap_error': 0.8331843973591676}
{'weights': [0.2, 0.2, 0.6000000000000001], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 17253.072997835498, 'shape_smoothness': 61.44753442668937, 'edge_consistency': 426186.2900701645, 'edge_intensity_error': 0.2202611754045097, 'intensity_gradient_error': 1.0324483779262492, 'intensity_variance_error': 0.6001468308681873, 'peak_intensity_consistency': 8.741792064327138, 'ge_normalized': 0.5134024012949251, 'ge': 200043.42172562808, 'spatial_spread_error': 11.780272497357823, 'gap_error': 0.8608072465742126}
{'weights': [0.2, 0.25, 0.55], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 59921.763958916905, 'shape_smoothness': 99.52996724323351, 'edge_consistency': 425965.13094581926, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8260004377153519, 'intensity_variance_error': 0.6168753593863533, 'peak_intensity_consistency': 16.582395366601077, 'ge_normalized': 0.5359959795776414, 'ge': 229359.0421043998, 'spatial_spread_error': 13.590303200354255, 'gap_error': 0.8973681266261043}
{'weights': [0.2, 0.25, 0.55], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 35068.10119047619, 'shape_smoothness': 69.81226449754507, 'edge_consistency': 426714.63670162903, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 1.048449376414297, 'intensity_variance_error': 0.8891828625201015, 'peak_intensity_consistency': 12.448835757803423, 'ge_normalized': 0.46936864443973364, 'ge': 220880.72146392858, 'spatial_spread_error': 13.949218082247208, 'gap_error': 0.8584034600012966}
{'weights': [0.2, 0.25, 0.55], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57493.007326007326, 'shape_smoothness': 96.48809628000897, 'edge_consistency': 426270.14285653434, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.9545110769928535, 'intensity_variance_error': 0.7430280858685858, 'peak_intensity_consistency': 15.294043953877297, 'ge_normalized': 0.5981582617534232, 'ge': 203849.86924618308, 'spatial_spread_error': 12.490025346351983, 'gap_error': 0.8945385702404335}
{'weights': [0.2, 0.25, 0.55], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 24412.126203208554, 'shape_smoothness': 62.29989205727586, 'edge_consistency': 426263.0192252877, 'edge_intensity_error': 0.6330672959928919, 'intensity_gradient_error': 0.8311997610436581, 'intensity_variance_error': 0.6676569703437775, 'peak_intensity_consistency': 11.199288842833928, 'ge_normalized': 0.7174111458158805, 'ge': 144393.5071946401, 'spatial_spread_error': 9.841156962381788, 'gap_error': 0.8572162388517192}
